Date,High,Low,Close
16-12-2021,602.830017,588,591.059998
17-12-2021,593.25,581.73999,586.72998
20-12-2021,602.880005,584.26001,593.73999
21-12-2021,607.820007,593.859985,604.919983
22-12-2021,614.820007,602.630005,614.23999
23-12-2021,616.880005,607.570007,614.090027
27-12-2021,615,609.25,613.119995
28-12-2021,618.409973,609.690002,610.710022
29-12-2021,613.97998,604.679993,610.539978
30-12-2021,620.609985,611.23999,612.090027
31-12-2021,614.080017,602.049988,602.440002
03-01-2022,609.98999,590.559998,597.369995
04-01-2022,600.409973,581.599976,591.150024
05-01-2022,592.840027,566.880005,567.52002
06-01-2022,563.359985,542.01001,553.289978
07-01-2022,553.429993,538.219971,541.059998
10-01-2022,543.690002,526.320007,539.849976
11-01-2022,543.909973,530.070007,540.840027
12-01-2022,544.27002,532.02002,537.219971
13-01-2022,540.789978,518.26001,519.200012
14-01-2022,538.369995,511.880005,525.690002
18-01-2022,521.75,508.679993,510.799988
19-01-2022,523.210022,510.51001,515.859985
20-01-2022,526.640015,506.929993,508.25
21-01-2022,409.149994,379.98999,397.5
24-01-2022,387.26001,351.459991,387.149994
25-01-2022,387.709991,365.130005,366.420013
26-01-2022,382.660004,356.619995,359.700012
27-01-2022,394.799988,378.100006,386.700012
28-01-2022,387,372.079987,384.359985
31-01-2022,427.700012,398.200012,427.140015
01-02-2022,458.480011,425.540009,457.130005
02-02-2022,451.980011,426.480011,429.480011
03-02-2022,429.26001,404.279999,405.600006
04-02-2022,412.769989,396.640015,410.170013
07-02-2022,412.350006,393.549988,402.100006
08-02-2022,406.609985,395.829987,403.529999
09-02-2022,412.980011,398.790009,412.890015
10-02-2022,408,396.359985,406.269989
11-02-2022,411.609985,387.649994,391.309998
14-02-2022,409.359985,386.890015,396.570007
15-02-2022,409.160004,401.01001,407.459991
16-02-2022,401.559998,390.380005,398.079987
17-02-2022,399.109985,385.700012,386.670013
18-02-2022,402.869995,389.049988,391.290009
22-02-2022,392.420013,373.019989,377.380005
23-02-2022,386,366.660004,367.459991
24-02-2022,390.730011,354.720001,390.029999
25-02-2022,391.290009,375.579987,390.799988
28-02-2022,397.75,382.130005,394.519989
01-03-2022,395,383.709991,386.23999
02-03-2022,389.220001,375.209991,380.029999
